user_id,course_id,rating,progress,completed,timestamp
U0294,C092,4,100,True,2025-01-15 10:07:00
U0255,C054,3,54,False,2024-06-10 03:25:00
U0212,C088,3,74,False,2024-06-01 02:50:00
U0310,C005,2,32,False,2024-11-03 16:35:00
U0106,C035,4,90,True,2024-11-22 11:52:00
U0028,C005,3,69,False,2025-01-19 10:35:00
U0393,C091,3,70,False,2024-12-04 22:28:00
U0059,C062,5,74,False,2024-09-22 00:21:00
U0182,C025,4,61,False,2024-10-28 17:33:00
U0192,C097,3,90,True,2024-06-24 05:31:00
U0072,C010,3,32,False,2024-12-27 03:16:00
U0313,C028,4,88,False,2024-12-19 06:29:00
U0423,C068,3,82,False,2024-11-21 03:48:00
U0213,C059,4,70,False,2024-08-03 14:29:00
U0338,C077,4,83,False,2024-08-08 15:00:00
U0272,C097,3,100,True,2025-03-11 13:53:00
U0300,C079,4,97,True,2024-08-30 22:37:00
U0089,C068,4,82,False,2024-08-05 03:24:00
U0337,C051,3,24,False,2025-02-14 12:26:00
U0312,C010,2,26,False,2024-10-06 08:25:00
U0494,C015,5,51,False,2025-01-18 04:08:00
U0212,C087,4,55,False,2024-11-01 22:35:00
U0441,C084,3,76,False,2025-03-11 20:13:00
U0103,C049,4,63,False,2024-11-24 21:08:00
U0364,C033,3,68,False,2025-02-13 17:44:00
U0327,C034,3,59,False,2024-11-28 17:30:00
U0299,C074,4,70,False,2025-03-01 09:56:00
U0434,C051,5,89,False,2025-02-23 03:01:00
U0196,C062,2,27,False,2024-06-29 06:17:00
U0385,C078,2,5,False,2024-10-25 21:16:00
U0075,C010,3,72,False,2024-10-30 06:48:00
U0278,C069,3,48,False,2024-07-23 19:55:00
U0346,C011,3,22,False,2024-09-23 23:41:00
U0288,C093,4,98,True,2024-10-26 22:42:00
U0025,C025,5,95,True,2024-12-16 13:50:00
U0500,C078,2,17,False,2024-06-28 00:47:00
U0129,C095,5,69,False,2024-09-24 20:45:00
U0364,C040,4,91,True,2025-03-07 23:38:00
U0101,C047,3,36,False,2024-09-08 09:28:00
U0091,C047,2,6,False,2024-07-09 05:11:00
U0377,C063,5,58,False,2024-06-21 13:17:00
U0285,C026,3,57,False,2025-03-27 08:00:00
U0170,C015,5,58,False,2024-06-21 04:59:00
U0166,C080,5,80,False,2024-11-02 15:50:00
U0294,C025,3,64,False,2024-11-10 16:14:00
U0490,C045,4,70,False,2025-02-14 05:26:00
U0279,C012,4,74,False,2024-11-26 07:56:00
U0110,C042,4,89,False,2024-12-02 09:13:00
U0487,C028,2,56,False,2025-02-27 15:35:00
U0422,C053,3,66,False,2024-06-05 03:42:00
U0178,C100,4,70,False,2024-10-03 01:43:00
U0454,C092,4,72,False,2024-12-15 08:34:00
U0371,C087,3,71,False,2024-12-09 16:51:00
U0261,C072,4,69,False,2024-10-30 20:12:00
U0165,C014,4,84,False,2024-08-25 17:34:00
U0004,C054,4,89,False,2024-09-18 21:27:00
U0428,C089,3,43,False,2025-01-09 20:52:00
U0482,C083,4,89,False,2024-06-13 14:45:00
U0170,C013,4,81,False,2024-06-28 05:50:00
U0129,C099,5,71,False,2024-09-25 08:26:00
U0199,C097,4,76,False,2025-01-08 10:01:00
U0200,C018,4,96,True,2024-06-04 20:46:00
U0317,C078,4,92,True,2024-06-24 22:54:00
U0038,C093,5,80,False,2024-07-25 09:50:00
U0352,C003,4,75,False,2024-10-23 14:24:00
U0203,C029,2,15,False,2024-06-16 15:10:00
U0274,C063,5,95,True,2025-03-07 09:40:00
U0074,C089,2,18,False,2024-12-09 00:35:00
U0448,C008,5,62,False,2024-06-22 00:36:00
U0306,C099,4,90,True,2024-07-14 09:13:00
U0384,C075,3,37,False,2024-11-24 06:26:00
U0464,C093,4,69,False,2024-08-12 05:11:00
U0114,C029,4,77,False,2024-09-08 03:11:00
U0344,C025,3,82,False,2024-06-28 17:29:00
U0331,C085,3,59,False,2024-07-05 08:06:00
U0102,C083,2,28,False,2025-02-05 10:22:00
U0066,C056,3,26,False,2024-07-22 09:39:00
U0036,C082,2,45,False,2024-11-10 15:28:00
U0169,C040,2,48,False,2025-03-27 04:36:00
U0291,C041,3,54,False,2025-01-06 05:00:00
U0161,C094,3,54,False,2025-01-10 08:53:00
U0185,C042,5,91,True,2025-02-01 14:28:00
U0184,C056,3,63,False,2025-02-05 17:06:00
U0090,C023,4,73,False,2024-10-22 04:57:00
U0276,C064,4,80,False,2024-07-10 23:04:00
U0457,C047,4,68,False,2024-06-16 18:37:00
U0208,C099,5,86,False,2024-09-17 01:35:00
U0134,C088,3,92,True,2025-01-28 20:49:00
U0077,C018,5,100,True,2024-10-27 04:29:00
U0257,C077,4,94,True,2024-12-04 16:00:00
U0340,C080,3,70,False,2024-08-24 16:08:00
U0229,C099,4,59,False,2025-03-17 21:55:00
U0496,C076,5,52,False,2024-12-01 01:14:00
U0390,C003,2,30,False,2024-10-14 11:14:00
U0022,C099,4,94,True,2024-12-02 12:30:00
U0470,C012,4,100,True,2024-06-21 20:20:00
U0053,C034,4,72,False,2025-02-22 20:53:00
U0141,C099,3,33,False,2024-10-13 18:34:00
U0292,C045,4,78,False,2024-12-05 18:41:00
U0460,C088,4,98,True,2025-02-20 08:24:00
U0499,C033,4,79,False,2025-02-20 12:22:00
U0419,C090,3,55,False,2025-02-05 15:56:00
U0310,C019,3,67,False,2025-01-12 05:14:00
U0040,C039,3,52,False,2024-09-17 04:11:00
U0081,C043,4,87,False,2024-07-31 21:14:00
U0213,C021,4,100,True,2024-07-29 15:43:00
U0246,C088,3,48,False,2024-08-22 20:53:00
U0211,C061,4,100,True,2024-08-05 18:37:00
U0083,C079,4,100,True,2024-06-21 18:09:00
U0029,C042,4,97,True,2025-02-20 12:38:00
U0497,C001,5,82,False,2024-10-24 02:13:00
